Order	School	Postcode	State Overall Score	Better Education Percentile	English	Maths	Total Enrolments	Trend / Compare	Sector	SES
99	Blackburn Primary School	3130	98	5%	5/5	5/5	440	Trend / Compare	Government	96
100	Thomastown East Primary School	3074	98	5%	5/5	5/5	340	Trend / Compare	Government	75
103	Mont Albert Primary School, Mont Albert, VIC, 3127	3127	98	6%	5/5	5/5	610	Trend / Compare	Government	96
104	Cheltenham East Primary School	3192	98	6%	5/5	5/5	390	Trend / Compare	Government	95
106	Jells Park Primary School	3150	98	7%	5/5	5/5	540	Trend / Compare	Government	95
108	Chirnside Park Primary School	3116	98	7%	5/5	5/5	400	Trend / Compare	Government	61
135	Cheltenham Primary School	3192	97	8%	5/5	5/5	410	Trend / Compare	Government	95
137	Ivanhoe Primary School	3079	97	8%	5/5	5/5	550	Trend / Compare	Government	96
140	Hawthorn West Primary School	3122	97	9%	5/5	5/5	480	Trend / Compare	Government	96
141	Knox Gardens Primary School	3152	97	9%	5/5	5/5	470	Trend / Compare	Government	95
144	Huntingdale Primary School	3167	97	9%	5/5	5/5	420	Trend / Compare	Government	95
146	Yarra Primary School	3121	97	9%	5/5	5/5	260	Trend / Compare	Government	95
147	North Melbourne Primary School	3051	97	9%	5/5	5/5	870	Trend / Compare	Government	95
149	Alamanda K-9 College, Point Cook, VIC, 3030	3030	97	9%	5/5	5/5	3310	Trend / Compare	Government	95
151	Balwyn North Primary School	3104	97	9%	5/5	5/5	640	Trend / Compare	Government	96
152	Strathmore North Primary School	3041	97	9%	5/5	5/5	600	Trend / Compare	Government	95
154	Carlton Gardens Primary School	3053	96	9%	5/5	5/5	460	Trend / Compare	Government	95
155	Mount Eliza North Primary School	3930	96	9%	5/5	5/5	530	Trend / Compare	Government	95
156	Glen Iris Primary School	3146	96	9%	5/5	5/5	420	Trend / Compare	Government	97
157	Aspendale Gardens Primary School	3195	96	10%	5/5	5/5	610	Trend / Compare	Government	92
158	Queenscliff Primary School	3225	96	9%	5/5	5/5	160	Trend / Compare	Government	96
159	South Yarra Primary School	3141	96	10%	5/5	5/5	460	Trend / Compare	Government	96
161	Brighton Primary School, Brighton, VIC, 3186	3186	96	10%	5/5	5/5	530	Trend / Compare	Government	96
162	Parkmore Primary School	3131	96	10%	5/5	5/5	150	Trend / Compare	Government	85
163	Mitcham Primary School	3132	96	10%	5/5	5/5	500	Trend / Compare	Government	95
164	Oakleigh Primary School	3166	96	10%	5/5	5/5	480	Trend / Compare	Government	95
165	Heathmont East Primary School	3135	96	10%	5/5	5/5	590	Trend / Compare	Government	95
168	Gardenvale Primary School	3185	96	10%	5/5	5/5	600	Trend / Compare	Government	96
169	Park Orchards Primary School	3114	96	10%	5/5	5/5	370	Trend / Compare	Government	95
170	Abbotsford Primary School	3067	96	10%	5/5	5/5	170	Trend / Compare	Government	95
171	Belle Vue Primary School	3104	96	10%	5/5	5/5	140	Trend / Compare	Government	95
172	Merri Creek Primary School, Fitzroy North, VIC, 3068	3068	96	10%	5/5	5/5	430	Trend / Compare	Government	97
